jour,hospitalises,reanimation,deces,hosp_mm7,rea_mm7
2021-02-17,25929,3340,58862,26369.0,3324.0
2021-02-18,25717,3384,59133,26191.0,3332.0
2021-02-19,25506,3380,59458,26060.0,3344.0
2021-02-20,25269,3369,59641,25928.0,3354.0
2021-02-21,25464,3392,59800,25794.0,3368.0
2021-02-22,25831,3407,60133,25702.0,3373.0
2021-02-23,25660,3435,60443,25625.0,3387.0
2021-02-24,25614,3436,60720,25580.0,3400.0
2021-02-25,25317,3430,60981,25523.0,3407.0
2021-02-26,25130,3445,61265,25469.0,3416.0
2021-02-27,24989,3453,61450,25429.0,3428.0
2021-02-28,25280,3492,61572,25403.0,3443.0
2021-03-01,25430,3544,61947,25346.0,3462.0
2021-03-02,25263,3586,62247,25289.0,3484.0
2021-03-03,25111,3637,62569,25217.0,3512.0
2021-03-04,24891,3633,62862,25156.0,3541.0
2021-03-05,24765,3680,63100,25104.0,3575.0
2021-03-06,24625,3689,63270,25052.0,3609.0
2021-03-07,24818,3743,63400,24986.0,3645.0
2021-03-08,25195,3849,63759,24953.0,3688.0
2021-03-09,25201,3918,64057,24944.0,3736.0
2021-03-10,24969,3918,64321,24923.0,3776.0
2021-03-11,24858,3992,64586,24919.0,3827.0
2021-03-12,24749,4033,64809,24916.0,3877.0
2021-03-13,24671,4070,64978,24923.0,3932.0
2021-03-14,24989,4127,65118,24947.0,3987.0
2021-03-15,25469,4219,65451,24987.0,4040.0
2021-03-16,25492,4239,65765,25028.0,4085.0
2021-03-17,25314,4219,66006,25077.0,4128.0
2021-03-18,25389,4246,66274,25153.0,4165.0
2021-03-19,25339,4287,66559,25238.0,4201.0
2021-03-20,25537,4353,66735,25361.0,4241.0
2021-03-21,25926,4406,66873,25495.0,4281.0
2021-03-22,26488,4548,67216,25641.0,4328.0
2021-03-23,26756,4634,67503,25821.0,4385.0
2021-03-24,26876,4651,67748,26044.0,4446.0
2021-03-25,27036,4709,67973,26280.0,4513.0
2021-03-26,27242,4766,68276,26552.0,4581.0
2021-03-27,27259,4791,68466,26798.0,4644.0
2021-03-28,27712,4872,68597,27053.0,4710.0
2021-03-29,28322,4974,68957,27315.0,4771.0
2021-03-30,28510,5072,69293,27565.0,4834.0
2021-03-31,28463,5053,69596,27792.0,4891.0
2021-04-01,28581,5109,69904,28013.0,4948.0
2021-04-02,28729,5254,70204,28225.0,5018.0
2021-04-03,28886,5273,70389,28458.0,5087.0
2021-04-04,29356,5341,70574,28692.0,5154.0
2021-04-05,29907,5433,70771,28919.0,5219.0
2021-04-06,30639,5626,71180,29223.0,5298.0
2021-04-07,30904,5729,71601,29572.0,5395.0
2021-04-08,30555,5705,71944,29854.0,5480.0
2021-04-09,30326,5757,72243,30082.0,5552.0
2021-04-10,30238,5769,72450,30275.0,5623.0
2021-04-11,30671,5838,72626,30463.0,5694.0
2021-04-12,31262,5916,73011,30656.0,5763.0
